n=10;
p=8;
Weights=[9,8,4,7,10,6,10,3,1,5];
FixedObjectCoords=[
[1586, 133],
[784, 508],
[874, 397],
[1302, 216],
[1342, 95],
[989, 891],
[777, 249],
[258, 263],
[786, 765],
[1389, 540]];
MinDistances=[
[7,14,25,18,7,15,5,16],
[18,15,2,13,16,14,21,24],
[2,5,6,18,11,23,11,17],
[23,7,12,7,24,10,7,22],
[7,6,5,15,16,4,12,20],
[25,10,14,10,20,3,10,3],
[2,19,10,2,11,14,21,16],
[12,16,21,23,16,19,11,21],
[18,20,10,20,9,22,17,8],
[13,4,5,8,25,17,7,24]];
MinDistObjects=[
[0,5,5,5,5,5,5,5],
[5,0,5,5,5,5,5,5],
[5,5,0,5,5,5,5,5],
[5,5,5,0,5,5,5,5],
[5,5,5,5,0,5,5,5],
[5,5,5,5,5,0,5,5],
[5,5,5,5,5,5,0,5],
[5,5,5,5,5,5,5,0]];
SourceAreaDimensions=[1600, 1000];
